,Bigram,Freq
0,use python,4920.076715787895
1,object attribute,3504.847360500698
2,list list,2958.520673556867
3,file python,2936.8461651350067
4,text file,2925.2767692389916
5,file use,2031.174866320586
6,element list,1890.7483597591674
7,module name,1750.6566902755922
8,python script,1707.9022036455747
9,read file,1627.7305554120433
10,value column,1601.1683652619115
11,string python,1592.4216200871658
12,value list,1582.596914491152
13,regular expression,1581.4272734859135
14,list python,1492.5361483356828
15,app engine,1461.555257628407
16,column value,1456.0151606029863
17,error use,1365.3653209533134
18,list duplicate,1351.8823305897736
19,list comprehension,1333.3443498853899
20,python duplicate,1323.335031058988
21,convert string,1313.6335205990981
22,user input,1266.8820803072601
23,create new,1234.8228384511376
24,import name,1185.2161499136632
25,key value,1182.64661288704
26,item list,1155.529632242667
27,numpy array,1137.633522167787
28,return value,1131.0391237472436
29,function python,1125.0615328782928
30,use panda,1122.8425328928126
31,list string,1114.3682137898563
32,syntax error,1104.4263729999607
33,multiple column,1099.77346047535
34,file directory,1098.4003627064185
35,list dictionary,1097.8889276985462
36,loop python,1097.469895275611
37,new column,1092.2891623039973
38,string list,1082.6282346761363
39,txt file,1078.6600132956473
40,variable python,1064.1320837747817
41,column name,1049.9910270118544
42,use selenium,1049.1287772261428
43,list index,1022.4061147274173
44,call function,1011.0216191492784
45,use loop,1001.668066839028
46,object callable,990.9508721025624
47,list tuple,965.6158320874554
48,create list,936.0595800862073
49,write file,929.8296670927696
