,Bigram,Freq
0,sql server,8849.996766012302
1,store procedure,6049.373602576309
2,join table,4548.610228847454
3,sql query,3947.6421265094586
4,foreign key,3612.9155791951794
5,multiple table,2791.553292507748
6,value column,2785.487208287012
7,column value,2783.759654069717
8,use php,2648.910666585787
9,table use,2618.742122013291
10,column name,2505.378725015926
11,database use,2437.83831901467
12,primary key,2402.9181018253475
13,column table,2387.9302246244542
14,create table,2374.1808203267155
15,select query,2373.3052615316587
16,select statement,2372.118766451065
17,multiple row,2357.753670813098
18,syntax error,2326.2568002072644
19,inner join,2276.1609483701486
20,row table,2247.2859074543153
21,update table,2217.7695089445806
22,multiple column,2186.7429511862947
23,value table,2160.609317834866
24,mysql database,2128.799894369832
25,datum table,2044.5747708025237
26,table column,1957.6629097234456
27,leave join,1943.0003945128287
28,server database,1897.7690197723994
29,mysql query,1880.9835337516597
30,table sql,1829.812662132414
31,entity framework,1816.9565568364083
32,database table,1811.2257490435104
33,query result,1673.7260952092163
34,use sql,1670.7831237089526
35,row column,1585.9755520132667
36,datum database,1542.72318615606
37,different table,1540.944607409899
38,case statement,1539.818741181402
39,php mysql,1521.3111352995325
40,query return,1520.6386421023658
41,null value,1504.1218288110642
42,query use,1484.0480313223954
43,table mysql,1460.2703545315583
44,update query,1447.8641672673425
45,query work,1438.7346852811233
46,connect database,1396.903643709969
47,sqlite database,1370.711545400653
48,select table,1367.8173808443353
49,many many,1348.092766423397
