,Trigram,Freq
0,sql server database,1173.9844428748836
1,foreign key constraint,917.42963672629
2,table sql server,907.3254277889106
3,server store procedure,748.2454787614126
4,server management studio,705.1742853196253
5,many many relationship,702.9464706773308
6,full text search,634.8159873199924
7,column sql server,607.2651953490084
8,database use php,574.4698654068859
9,use sql server,550.0515245033628
10,leave outer join,485.46669750506913
11,add foreign key,484.6008156901166
12,join multiple table,476.3561777372408
13,use php mysql,469.60527284494134
14,use store procedure,462.1629453520721
15,sql server table,446.7659197143192
16,value sql server,434.82098687440316
17,table foreign key,409.78553195719974
18,execute store procedure,390.60950522363316
19,store procedure sql,381.24205580600614
20,call store procedure,368.03869359736996
21,access deny user,361.71790104209333
22,insert multiple row,350.14413497895555
23,row sql server,343.8640552059512
24,inner join table,337.85144835476297
25,duplicate key update,336.3937280480935
26,update multiple row,334.3922166495573
27,foreign key table,331.0983630236482
28,store procedure return,324.9582798110069
29,procedure sql server,324.67754942352775
30,query sql server,324.36467235179225
31,use sql query,322.45269041570384
32,error create table,316.95008495197806
33,load datum infile,305.8883592645187
34,database sql server,303.77693368513894
35,store procedure use,303.6505890219659
36,error syntax error,300.28254624324495
37,take long time,298.10380851126484
38,real escape string,296.46716121582534
39,parameter store procedure,295.9539493374542
40,create store procedure,294.69663966831945
41,sql server use,288.23741090118193
42,file sql server,284.1890318205137
43,sql server duplicate,283.13086120912817
44,base column value,275.56486173184373
45,comma separate value,272.7832866578306
46,datum multiple table,268.8345180772562
47,select multiple table,268.28038273669284
48,column different table,267.8745906947603
49,use inner join,267.58018565093926
